"bea_code","bea_cause","bea_action"
090138,"Some certificates included in the keystore could not be stored.","Verify that the crypto providers required by the certificates in the keystore are properly configured in the java.security file and that their code is in the JDK extensions directory. Look at the exception text for more information on diagnosing the problem. Reboot the server after correcting the problem."
090137,"There was an I/O problem with the keystore data.","Verify that the passphrase is correct. Some JDK keystore implementations require the use of the password for a previous keystore. Read the exception text for more information on diagnosing the problem. Reboot the server after correcting the problem."
090136,"The file may exists but is a directory rather than a regular file, the file does not exist and cannot be created, or the file cannot be opened.","Verify that the correct pathname to the keystore was specified and that the parent directory exists. If neither of these problems exist, read the exception text for more information on diagnosing the problem. Reboot the server after correcting the problem."
090135,"The algorithm used to check the integrity of the keystore cannot be found.","Verify that the algorithm used to check the keystore integrity is properly configured in the java.security file and that the code is in the JDK extensions directory. Read the exception text for more information on diagnosing the problem. Reboot the server after correcting the problem."
090134,"Some certificates in the keystore could not be loaded.","Verify that the crypto providers required by the certificates in the keystore are properly configured in the java.security file and that their code is in the JDK extensions directory. Look at the exception text for more information on diagnosing the problem. Reboot the server after correcting the problem."
090133,"There is an I/O or format problem with the keystore data.","Verify that the path to the keystore, the keystore type, and the password for the keystore were specified correctly. Note that some keystore types (for example, JKS) do not require a password for read-only access. Read the exception text for more help on diagnosing the problem. Reboot the server after correcting the problem."
090132,"The file does not exist, the file is a directory rather than a regular file or the file cannot be opened for reading.","Verify that the correct path to the keystore file was specified and that the keystore file exists. Reboot the server after correcting the problem."
090131,"keystoreType is not a valid JDK keystore type or the JDK keystore type is not properly configured.","Verify that the correct keystore type was specified and that the keystore type is correctly specified in the java.security file. Verify that the code for the JDK keystore is in the JDK extensions directory. Reboot the server. after correcting the problem."
090130,"The directory into which the arg1 is to be written may not be writable, the file may not be writable, or the file may not be a valid properties file.","Ensure both the directory and file are writable. If they are writable, restore the file from backup or open the file and see if the properties within it are corrupt and correct accordingly. The version for provider arg0 needs to be set to arg2 in the file."
090129,"This security provider has not yet been updated or the marker file indicating initialization (with a .initialized extension) has been removed.","Look for a matching LoadedLDIFFForProvider message in the log file which indicates success loading the LDIF information for this security provider."
090128,"A WebLogic provider LDIF update template file may have been deleted by mistake.","An attempt should be made to recover the LDIFT update template file from the WebLogic Server kit and the server should be rebooted."
090127,"The arg1 file may have been deleted while it was being accessed.","Shutdown the server. Attempt to restore the file from a backup. If no backup is available,reboot the server. Note that the default WebLogic provider might not be correctly initialized."
090126,"The value for the arg0 property may have been corrupted.","Shutdown the server. Attempt to determine what the proper value for the arg0 property should be and edit the file so that it reflects that value. If it is not possible to determine the proper value for the arg0 property, edit the file and reset the arg0 value to 0. Reboot WebLogic Server."
090125,"Trusted certificates were loaded from keystore specified on the command line","No information available."
090124,"File format is not supported by the server.","Make sure the file format is valid and is supported by the server."
090123,"File might be read protected","Make sure the trusted CA file is accessible by the server."
090122,"Trusted CA certificates were loaded from the default keystore","No information available."
090121,"Trusted CA certificates were loaded from a trusted CA file","No information available."
090120,"The specified file was not found.","Verify that the specified file exists in the expected directory and/or that the value of Trusted CA File Name attribute refers to an existing file."
090119,"A WebLogic provider LDIF template file may have been deleted by mistake.","If the server boots successfully, no action is needed. If the server does not boot successfully, an attempt should be made to recover the LDIFT template file from the WebLogic Server kit."
090118,"A WebLogic provider LDIF template file may have been overwritten with an empty file.","If the server boots successfully, no action is needed. If the server does not boot successfully then an attempt should be made to recover non-empty LDIFT template file from the WebLogic Server kit."
090117,"No information available.","Add the servers private key to the configured keystore, and modify the SSL configuration to reference the alias and password by which the private key was stored. Remove the SSL Server Key FileName attribute. This process upgrades the configuration to the current release."
090116,"No information available.","No information available."
090115,"The server was booted from a directory with no config.xml file and you answered yes to when prompted to generate a default configuration. As part of this process, WebLogic Server creates a new Administrative username and password based on the values from command line or security prompts.","This username and password is needed for performing administrative functions such as logging into the Administration Console or issuing restricted administrative commands using weblogic.Admin."
090114,"No information available.","No information available."
090113,"Loaded number of trusted certificate authority from trust keystore","No information available."
090112,"Either the ""Client Certificates Enforced"" option was set by mistake or the problem is with SSL trusted certificates configuration.","Clear the ""Client Certificates Enforced"" option or specify the location of keystore that contains the trusted certificates."
090111,"The Server looks at the SSL ""ServerCertificateFileName"" attribute to load the certificate. One possible cause of this error is that server is not configured with a certificate, or there is a problem with the file configured as the servers certificate.","Verify that a certificate file is configured for the server and that the certificate contained in the file is valid. For more information, see the security documentation at http://www.oracle.com/technology/products/weblogic/index.html."
090110,"The server looks at the Server Certificate File Name attribute to load the certificate for the server. One possible cause of this error is that server is not configured with a certificate, or there is a problem with the file configured as the servers certificate.","Verify that a certificate file is configured for the server and that the certificate contained in the file is valid. For more information, see the security documentation available at http://www.oracle.com/technology/products/weblogic/index.html."
090109,"The server looks at the Server Key File Name attribute to load the private key of the server when it cannot find the private key in a configured keystore using the alias specified in the Server Private Key Alias attribute as the alias string. One possible cause of this error is that server is not configured with a private key keystore or the server is configured to use the pre-7.0 SSL attribute Server Key File Name.","A pre-7.0 configuration is being used for SSL connections, however that configuration does not specify a value for the Server Key File Name attribute. Either provide a value for the Server Key File Name attribute or configure a keystore for the server. SSL will not be able to initialize until the configuration is corrected. For more information, see the security documentation available at http://www.oracle.com/technology/products/weblogic/index.html."
090108,"An exception was thrown by the keystore getKey method.","Check that a private key keystore is configured on the server. Verify that the private key keystore exists. Check that the keystore is a valid and contains the private key necessary to use SSL on the server. Verify that the passphrase configured for the private key was the one used to load the private key into the keystore when the private key was created. This exception most often occurs when the passphrase is invalid. Check the log for subsequent messages that contain the key store exception. For more information, see the security documentation at http://www.oracle.com/technology/products/weblogic/index.html."
090107,"No information available.","Check that a private key keystore is configured on the server named in the log. Verify that the private key keystore exists. Check that the keystore is a valid and contains the private keys necessary to use SSL on the server. For more information, see the security documentation at http://www.oracle.com/technology/products/weblogic/index.html."
090106,"No information available.","Check that SSL is configured and enabled on the server specified in the message. For more information, see the security documentation at http://www.oracle.com/technology/products/weblogic/index.html."
090105,"No information available.","If a trusted CA keystore is configured, check that the keystore contains the expected trusted CAs. Also, check the configured the keystore is the intended keystore. When using the JDK cacerts keystore for trusted CAs, check that it has not been modified to remove the desired trusted CAs. For more information, see the security documentation at http://www.oracle.com/technology/products/weblogic/index.html."
090104,"No information available.","Most likely there is a problem with the java.security file which lists the available keystores. Or the keystore could have been modified using a J2EE security provider that has not been configured for WebLogic Server. Check for differences in the classpaths and security provider lists between the keystore management tool and WebLogic Server."
090103,"No information available.","Most likely there is a problem with the java.security file which lists the available keystores."
090102,"No information available.","Most likely there is a problem with the java.security file which lists the available keystores."
090101,"The keystore JDK method threw a keystore exception.","There is a problem with the keystore file. Check that the file is intact and valid. Use the JDK keytool utility to display the contents of the file. If the file is corrupt, down load a new file from the JavaSoft web site or configure a trusted CA keystore. For more information, see the security documentation at http://www.oracle.com/technology/products/weblogic/index.html."
090100,"No information available.","Most likely there is a problem with the java.security file which lists the available keystores."
090099,"No information available.","Most likely there is a password problem with the JDK cacerts keystore."
090098,"No information available.","Most likely there is a password problem with the JDK cacerts keystore."
090097,"The Key Manager Security service is null.","There was a problem with the installation of WebLogic Server because the KeyManager is an internal class that supports the WebLogic Security service."
090096,"The MBeans passed to the WebLogic key management initialization method are not Keystore MBeans.","Most likely, the Keystore provider was not configured correctly. Check that the Keystore provider has been configured on the named server."
090095,"An exception occurred while creating the keystore. This exception caused the create to fail.","Most likely, the keystore was not configured correctly. Check that the keystore provider has been configured on the named server. Review the server log for subsequent messages that contain the exception from the keystore provider."
090094,"No information available.","SSL cannot be used for secure connections because it could not load trusted CAs from the configured keystore or from the JDK cacerts keystore. For more information, see the security documentation at http://www.oracle.com/technology/products/weblogic/index.html."
090093,"No information available.","To use pre-WLS 8.1 keystores with the SSL configuration, at least one Keystore Provider must be configured."
090092,"A trusted CA keystore was not configured, so SSL will load the set of trusted CAs from the JDK cacerts keystore.","To use trusted CAs other than the ones specified in the JDK cacerts keystore, configure a trusted CA keystore that contains the desired trusted CAs. For more information, see the security documentation at http://www.oracle.com/technology/products/weblogic/index.html."
090091,"A security service was requested, but no value was returned.","It is likely the server's configuration has been corrupted. Restore the configuration files from backup. For more information, see the security documentation at http://www.oracle.com/technology/products/weblogic/index.html."
090090,"No information available.","Review the documentation on the keyStore and SSL configuration. Verify that the private key alias and passphrase were configured correctly. For more information, see the security documentation at http://www.oracle.com/technology/products/weblogic/index.html."
090089,"Either the Server Private Key PassPhrase attribute is not set or the Identity PassPhrase attribute is not set.","If a passphrase is required to retrieve the private key from a keystore, set the Server Private Key PassPhrase attribute."
090088,"The keystore alias is not specified in the Server Private Key Alias attribute.","Set the Server Private Key Alias attribute with the alias used to load the private key of the server into the keystore."
090087,"Most likely another process opened the Admin port thus causing a port conflict.","Inspect the log file for messages that identify the reason why none of the listen ports could be opened."
090086,"Most likely another process opened the Admin port thus causing a port conflict.","Inspect the log file for messages that identify the reason why none of the listen ports could be opened."
090085,"Most likely another process opened the port thus causing a port conflict.","Inspect the log file for messages that identify the reason why none of the listen ports could be opened."
090084,"Most likely another process is using the Admin port thus causing a port conflict.","Inspect the log file for messages that identify the reason that the Admin listen port could not be opened."
090083,"This message is for informational purposes.","Do not delete this file if you want the server to continue to boot without prompting for username and password."
090082,"This message is for informational purposes.","Verify the correct security realm is configured."
090081,"No information available.","For more information on SSL configuration, see the security documentation at http://www.oracle.com/technology/products/weblogic/index.html."
090080,"No information available.","For more information, see the security documentation at http://www.oracle.com/technology/products/weblogic/index.html."
090079,"IO Exception.","For more information, see the security documentation at http://www.oracle.com/technology/products/weblogic/index.html."
090078,"User exceeded the number of invalid login attempts specified in the Lockout Threshhold attribute within the period of time specified in the Lockout Reset Duration attribute. The user account is locked.","For more information, see the security documentation at http://www.oracle.com/technology/products/weblogic/index.html."
090077,"Read the exception.","Take appropriate action to keep the exception from happening again. The marker file can be created manually."
090076,"An exception occurred attempting to open a temporary file as part of the load process.","Examine the exception and correct the cause."
090075,"The provider was requested to import data.","No information available."
090074,"Either this is the first time this security provider has been initialized or the marker file indicating initialization (with a .initialized extension) has been removed from the system.","Look for a matching LoadedLDIFFForProvider message which indicates the successful loading the LDIF information for this security provider."
090073,"Rules for the filter are incorrect.","Correct the offending rules."
090072,"Rules for the filter are possibly corrupted.","Contact the system administrator and have the rules corrected."
090071,"No information available.","For more information about protecting user accounts, see the security documentation at http://www.oracle.com/technology/products/weblogic/index.html."
090070,IOException,"For more information about unlocking user accounts, see the security documentation at http://www.oracle.com/technology/products/weblogic/index.html."
090069,IOException,"For more information, see the security documentation at http://www.oracle.com/technology/products/weblogic/index.html."
090068,"A locked user account was explicitly unlocked using the Administration Console.","For more information about unlocking user accounts, see the security documentation at http://www.oracle.com/technology/products/weblogic/index.html."
090067,"The period of time specified for the Lockout Duration attribute has expired for this user account. The user account was locked for exceeding the number of invalid login attempts specified in the Lockout Threshold attribute within the period of time specified in the Lockout Reset Duration attribute.","No information available."
090066,"Security permissions are not correct.","Contact the system administrator."
090065,"The boot identity not provided by command-line argument or a problem exists with the boot.properties file.","No information available."
090064,"There are multiple possible causes.","Carefully read the returned error to determine if any action is required."
090063,"There are multiple possible causes.","Carefully read the returned error to determine if any action is required."
090062,"There are multiple possible causes.","Carefully read the returned error to determine if any action is required."
090061,"There are multiple possible causes.","Carefully read the returned error to determine if any action is required."
090060,"There are multiple possible causes.","Carefully read the returned error to determine if any action is required."
090059,"It is possible for this error to occur if a user has been deleted from a security realm while that user is still active.","If the user was mistakenly removed from the security realm, define them in the security realm again. Otherwise, no action is needed."
090058,"A Security exception occurred during an audit write event.","Check errors or access permissions for the Auditing provider."
090057,"An Audit Log File exception occurred.","Check errors or access permissions for the DefaultAuditRecorder.log file."
090056,"User exceeded the value of Lockout Threshhold attempts within the period of time specified in the Lockout Reset Duration attribute. The user account is locked.","For more information about protecting user accounts, see the security documentation at http://www.oracle.com/technology/products/weblogic/index.html."
090055,"The LDAP realm V1 is deprecated and will be removed in a future release.","Use LDAP realm V2 or one of the LDAP Authentication providers."
090054,"No information available.","No information available."
090053,"The password entered in a command-line argument or in the password.ini file is incorrect.","Enter the correct password."
090052,"The server is incorrectly configured as Windows NT service.","Contact the Windows NT system administrator."
090051,"During initialization, the security runtime registers with the OAM infrastructure. If this process fails, a management exception is thrown.","Verify that the user booting the server is a member of the admin group."
090050,"No information available.","No information available."
090049,"The system user is required.","Ensure the system user was created in a security realm before booting the server."
090048,"Changes made to the File realm cannot be written to filerealm.properties.","Make the changes on the Admin server and the changes are propagated to the Managed servers."
090047,"The principal specified in the ACL does not exist in any security realm.","Add the principal to a security realm."
090046,"When loading ACLs, the specified permission was not found.","Verify that the ACL is specified correctly."
090045,"When loading ACLs, the specified permission was not found.","Verify that the ACL and the permission are specified correctly."
090044,"When specifying group members, a principal that does not exist was specified.","Add the specified principal to a security realm."
090043,"When adding members to a group, the specified group was not found.","Verify that the group is defined in the fileRealm.properties file or in the Groups tab of the Administration Console."
090042,"The File realm sets a limit on the maximum number of supported ACLs. The system has exceeded that limit.","Raise the value of the Max ACLs attribute."
090041,"The File realm sets a limit on the maximum number of supported groups. The system has exceeded that limit.","Raise the value of the Max Groups attribute."
090040,"The File realm sets a limit on the maximum number of supported users. The system has exceeded that limit.","Raise the value of the Max Users attribute."
090039,"No information available.","No information available."
090038,"No information available.","No information available."
090037,"No information available.","No information available."
090036,"No information available.","No information available."
090035,"No information available.","No information available."
090034,"An IOException was thrown when creating the SSL listen thread.","Read the exception text for more help on diagnosing the problem. Contact the system administrator."
090033,"The current process lacks the operating system permissions needed to switch user identity.","Contact the system administrator."
090032,"No information available.","No information available."
090031,"The current process lacks the operating system permissions needed to switch the group identity.","Contact the system administrator."
090030,"No information available.","No information available."
090022,"No information available.","For information about unlocking a user account, see the security documentation at http://www.oracle.com/technology/products/weblogic/index.html."
090021,"The user exceeded the number of invalid login attempts defined for the Lockout Threshold and the Lockout Reset Duration attributes. Therefore, the user account is locked.","For information about unlocking user accounts, see the security documentation at http://www.oracle.com/technology/products/weblogic/index.html."
090020,"No information available.","No information available."
090010,"The principal contained in the ACL does not exist.","Modify the ACL and remove the principal."
090004,"Unexpected exception.","Review the exception message in the log message and see if the message identifies the cause of the exception."
090003,"None.","No action required."
090002,"IO Exception.","For more information on how locked user account lockouts are handled, see the security documentation at http://www.oracle.com/technology/products/weblogic/index.html."
090001,"IO Exception.","For more information on how the invalid login attempts are handled, see the security documentation at http://www.oracle.com/technology/products/weblogic/index.html."
090000,"Unsupported Feature.","Do not define circular groups."
080027,"A thin-client disconnected from the server.","This is an informational message. No action required."
080026,"When a remote object is exported into RMI, RMI runtime assigns an object id to it, thus setting up the environment for remote invocation.","This is an informational message. No action required."
080025,"Unable to start DGC client trigger that periodically renews the lease of all the remote objects active in this JVM.","Please restart the client. If the problem continues, please provide support with stack trace."
080024,"Logged only if the DebugDGCEnrollment flag is enabled for debugging.","No action required."
080023,"Logged only if the DebugDGCEnrollment flag is enabled for debugging.","No action required."
080022,"This message is logged when an attempt is made to increment the reference count of a lost reference. The reference may have already been released.","If you receive an java.rmi.NoSuchObjectException, please contact Oracle support for further analysis of the error."
080021,"This message is logged only if the LogDGCStatistics debug flag is enabled.","No action required."
080020,"A runtime error occurred while the DGC server (host of remote objects) called sweep to periodically cleanup server references.","Please provide logs to support for further analysis of the problem."
080019,"This message is logged only if the LogDGCStatistics debug flag is enabled.","No action is necessary."
080018,"This error indicates that the DGC trigger could not be scheduled due to tte. Hence all remote objects exported by this JVM will not be garbage collected.","Please restart the server. If the problem still persists, contact support with the stack trace."
080017,"Logged only in debug mode.","No action required."
080016,"The client lost connection to the server jvmid. If the server does not receive lease renewal messages on the server, rmi runtime removes the remote objects whose lease is not renewed.","If server jvmid has been shutdown or crashed, no action required. Otherwise, make sure that the network is healthy."
080015,"An exception was thrown during the execution of DGC trigger.","If you receive an java.rmi.NoSuchObjectException, please contact support Oracle support for further analysis of the error."
080014,"Debug messages. Please ignore.","Please contact support at Oracle support to prevent this message from getting logged if debugging is disabled."
080013,"Did not find oid in the working set while attempting to decrement the reference count. This is related to DGC.","If you receive an java.rmi.NoSuchObjectException, please contact Oracle support for further analysis of the error."
080012,"Found an empty working set for oid while periodically scanning the list of references that have been finalized and decrementing the count for any reference that is found. This is related to DGC.","If you receive an java.rmi.NoSuchObjectException, please contact Oracle support for further analysis of the error."
080011,"Found an empty set of references for jvmid while assembling DGC heart beats for all remote Virtual Machines that are referenced from this Virtual Machine.","If you receive java.rmi.NoSuchObjectException, please contact support at Oracle support"
080010,"Causes not listed.","No action required."
080009,"A java.lang.Error was thrown while invoking method s2 on s1. A ServerError was thrown due to the server side rmi method call.","Please check the nested exception in ServerError for more details."
080008,"An exception occurred while dispatching an error response to the client.","No action required."
080007,"Could not initialize rmi runtime.","Restart the server. If the problem continues, please contact Support at Oracle support with stack trace information."
080006,"An io exception occurred while associating a transaction context with the response. This happened when marshalling an exception in the response. Most likely, the socket has been torn down or there is an error in the stream. Logging this warning.","Please check the server logs for more details."
080005,"Unable to send error response to client. Underlying socket threw IOException while dispatching error response.","The associated stack trace contains information about the error."
080004,"A runtime error occurred while dispatching a response to the client.","The associated stacktrace contains information about the error. Please check the server logs for more details."
080003,"A runtime exception was thrown while dispatching request to the server.","No action required."
080002,"Remote object was unexported twice.","No action required."
080001,"A runtime error occurred while dispatching a request to the server.","If the error is not application related please contact Oracle support with stack trace for further analysis."
080000,"An error has occurred.","No action required."
055172,"An attempt was made to unsubscribe a durable subscription with a null Topic object or a distributed topic object from a connection that has a Client ID policy of UNRESTRICTED.","Provide a standalone topic object or a member of a distributed topic when calling weblogic.jms.extensions.WLSession.unsubscribe(String topic, String name)."
055171,"An attempt was made to unsubscribe a durable subscription using the standard javax.jms.Session.unsubscribe(String name) method from a connection that has a Client ID policy of UNRESTRICTED.","Use weblogic.jms.extensions.WLSession.unsubscribe(Topic topic, String name) API to unsubscribe a durable subscription from a connection that has a Client ID policy of UNRESTRICTED."
055170,"Cannot convert string property from its internal format.","Contact customer support."
055169,"Network connection to server was lost.","This is usually a recoverable error when the JMS client is using the auto-reconnect/failover feature. This error is exposed to the user (JMS client code developer) when the auto-reconnect feature cannot make a decision without user input on a particular course of action after failover. User can consciously code to continue to use relevant refreshed JMS objects with a potential lowered quality of service like duplicate/lost/out-of-order messages, or decide to close the relevant JMS object."
055168,"Synchronous message-prefetching consumer cannot support user transaction.","Disable the user transaction or the synchronous message-prefetching consumer in the jms connection factory setting."
055167,"There is another opened synchronous message-prefetching consumer.","Close the another synchronous message-prefetching consumer."
055166,"Look for earlier messages that might explain what caused the error.","Contact customer support."
055165,"An error condition has occurred.","Look for the associated exception in the log or your program to see what the results are. In general, this stack trace will help in debugging an existing problem."
055164,"Cannot forward message to a WebLogic server prior than 9.0","Do not forward message to a WebLogic server prior than 9.0"
055163,"Contact Oracle Customer Support.","Contact Oracle Customer Support."
055162,"Contact Oracle Customer Support.","Contact Oracle Customer Support."
055161,"Foreign Messages are not supported when using forward methods","Do not forward a foreign message"
055160,"Contact Oracle Customer Support.","Contact Oracle Customer Support."
055159,"Contact Oracle Customer Support.","Contact Oracle Customer Support."
055158,"The linked IOException will have more detail on the cause of the failure","Examine the linked exception to discover what the problem may have been"
055157,"The compression threshold was invalid.","Change the code to pass a valid compression threshold."
055156,"A version mismatch occurred in a message","This is an internal error that should not occur. Please contact Oracle support"
055155,"Modified received Message are not supported when using forward methods","Do not modify a received message in a call to forward"
055154,"The object passed to writeObject is not valid","Only send valid object types to writeObject. Example valid types are Boolean, Byte, Short, Integer and so on"
055153,"The linked IOException will have more detail on the cause of the failure","Examine the linked exception to discover what the problem may have been"
055152,"In a call to readBytes the length parameter is larger than the size of the bytes array to fill","Fix the code to ensure the length passed to readBytes is less than or equal to the length of the output array"
055151,"In a call to readBytes the length parameter is negative","Fix the code to ensure a negative length is not passed to readBytes"
055150,"The linked IOException will have more detail on the cause of the failure","Examine the linked exception to discover what the problem may have been"
055149,"The end of the bytes message was reached, but an attempt was made to read. place indicates where the attempt was made and will only be significant to Oracle support","Do not attempt to read past the end of the bytes message"
055148,"Could not write a raw object to the buffered stream","Contact Oracle support"
055147,"readLine was called, but it has not been implemented","Contact Oracle support"
055146,"The stream is probably from an unintended source, such as a web-browser","Only connect to your Oracle product TCP port with a proper client. If the client is a proper client, contact Oracle support"
055145,"The given version number is invalid for a buffered stream","Contact Oracle support"
055144,"The given destination must be a topic, but it is not a topic","Only use the proper type of destination when checking types"
055143,"The given destination must be a queue, but it is not a queue","Only use the proper type of destination when checking types"
055142,"While checking a destination type the incoming destination is foreign","Do not attempt to discover the type of a foreign destination"
055141,"While checking a destination type the incoming destination was null","Do not attempt to discover the type of a null destination"
055140,"An unknown type was encountered when marshalling a destination","Contact Oracle support"
055139,"An attempt was made to delete an invalid temporary destination","Do not attempt to delete invalid temporary destinations"
055138,"An interoperability error occurred","Only use versions of Oracle products that can interoperate with each other. If the versions you are using should interoperate, contact Oracle support"
055137,"An interoperability error occurred","Only use versions of Oracle products that can interoperate with each other. If the versions you are using should interoperate, contact Oracle support"
055136,"An unknown class code was received. The object cannot be read","Contact Oracle support"
055135,"We could not write the given object class because it is not a simple type","Contact Oracle support"
055134,"While attempting to interoperate between different releases or service packs an error occurred while attempting to serialize or deserialize an object. The version number of the object was not in the expected range. If version is larger than min then it is possible an attempt was made to access a newer JMS version than the current version. Otherwise a possible attempt has been made to interoperate with an unsupported older version of JMS.","Make sure the versions of Oracle products that are interoperating are supported. If the versions should be supported, contact Oracle support"
055133,"The system could not deserialize a MapMessage. The linked IOException should contain more information about the nature of the error","Examine the linked exception to discover what the cause of the failure was"
055132,"The system could not copy a MapMessage. The linked IOException should contain more information about the nature of the error","Examine the linked exception to discover what the cause of the failure was"
055131,"The given name is not legal. It is either null or of zero length","Pass a non-null or non-zero-length string as the name of a MapMessage element"
055130,"The class name given is not a valid data type. The type for setObject must be Number, String, Boolean, byte[], Character or null.","Only pass one of the acceptable data types to setObject in a MapMessage"
055129,"An attempt was made to write a message that is read-only","Do not attempt to write to a message in read-only mode"
055128,"An attempt was made to read a message in WRITE mode","Do not attempt to read a message in WRITE mode"
055127,"The version of the message being read is unsupported","Contact Oracle support"
055126,"While attempting to read a message created by an older version of WLS a failure occurred","It may not be possible to read the older version of the message. Contact support"
055125,"While attempting to read a message created by an older version of WLS a failure occurred","It may not be possible to read the older version of the message. Contact Oracle support"
055124,"A version mismatch occurred in a message","This is an internal error that should not occur. Please contact Oracle support"
055123,"The property value passed to setObjectProperty was invalid","Change the code to pass a valid property value"
055122,"An attempt was made to write a property but the message is read-only","Do not attempt to write a property to a message in read-only mode"
055121,"The property name passed to setObjectProperty was invalid","Change the code to pass a valid property name"
055120,"The property name passed to setObjectProperty was invalid","Change the code to pass a valid property name"
055119,"The priority parameter passed to setJMSPriority was invalid.","Change the code to pass a valid priority value."
055118,"The redelivery limit parameter passed to setJMSRedeliveryLimit was invalid.","Change the code to pass a redelivery limit parameter that is >= -1."
055117,"The delivery mode passed into setJMSDeliveryMode is invalid","Change the code so that it calls setJMSDeliveryMode with a valid deliver mode"
055116,"This error should never happen","Contact Oracle support"
055115,"There was an error deserializing an object. A linked ClassNotFoundException may have more detail","See the linked ClassNotFoundException"
055114,"There was an error deserializing an object. A linked IOException may have more detail","See the linked IOException"
055113,"There was an error reading the stream from a StreamMessage. A linked ArrayStoreException may contain more information","See the linked ArrayStoreException for more information"
055112,"There was an error reading the stream from a StreamMessage. A linked ArrayIndexOutOfBoundsException may contain more information","See the linked ArrayIndexOutOfBoundsException for more information"
055111,"A StreamMessage was unable to convert one type to another","Ensure the two types are compatible. Do not attempt to convert incompatible types"
055110,"There was an error writing to the stream of a StreamMessage. A linked IOException may contain more information","See the linked IOException for more information"
055109,"There was an error reading the stream from a StreamMessage. A linked IOException may contain more information","See the linked IOException for more information"
055108,"An attempt was made to read past the end of a StreamMessage. A linked EOFException may contain more information","Do not attempt to read past the end of a StreamMessage. See the linked EOFException for more information"
055107,"The given object could not be converted to a byte[]","Make sure the object passed in can be converted to a byte array"
055106,"A byte[] cannot be converted to a String","Do not pass a byte array that need to be converted to a string"
055105,"An object that was not null, not a Double and not a String could not be converted to a short value","Make sure the object passed in is either Double or String"
055104,"The null object cannot be converted to a double value","Do not pass null where a double value is expected"
055103,"An object that was not null, not a Float and not a String could not be converted to a float value","Make sure the object passed in is either Float or String"
055102,"The null object cannot be converted to a float value","Do not pass null where a float value is expected"
055101,"An object that was not null, not a Long and not a String could not be converted to a long value","Make sure the object passed in is either Long or String"
055100,"The null object cannot be converted to a long value","Do not pass null where a long value is expected"
055099,"An object that was not null, not an Integer and not a String could not be converted to a int value","Make sure the object passed in is either Integer or String"
055098,"The null object cannot be converted to an int value","Do not pass null where an int value is expected"
055097,"An object that was not null, not a Character and not a String could not be converted to a char value","Make sure the object passed in is either Character or String"
055096,"The null object cannot be converted to a char value","Do not pass null where a char value is expected"
055095,"The browser has been closed. Only a few operations are valid on a closed browser","Do not call any illegal operations on a closed browser"
055094,"The producer has been closed. Only a few operations are valid on a closed producer","Do not call any illegal operations on a closed producer"
055093,"An IO exception occurred while converting foreign message. The cause of the failure may be contained in the linked exception","Examine the linked IO Exception"
055092,"An attempt was made to send to a topic","Do not use send to a topic. Use publish instead"
055091,"An attempt was made to publish to a queue","Do not use publish to a queue. Use send instead"
055090,"Foreign destination are not supported when sending","Do not use a foreign destination in a call to send"
055089,"In a call to send the destination parameter was null","Do not use null for the destination in a call to send"
055088,"The consumer has been closed. Only a few operations are valid on a closed consumer","Do not call any illegal operations on a closed consumer"
055087,"A consumer may not have an individual message listener if its parent session already has one defined","Do not attempt to set a message listener for a consumer if the session already has a listener defined"
055086,"Foreign destination are not supported when creating connectionConsumers","Do not use a foreign destination in a call to createConnectionConsumer"
055085,"In a call to createConnectionConsumer or createConsumer the destination parameter was null","Do not use null for the destination in a call to createConnectionConsumer or createConsumer"
055084,"A connection consumer can only be created in the same JVM in which the server is running","Do not attempt to create a connection consumer on a JVM that is not running the server"
055083,"The clientID clientID1 is already set on this connection. The clientID cannot be set to clientID","Do not attempt to set a clientID on a connection that already has one"
055082,"The connection has been closed. Only a few operations are valid on a closed connection","Do not call any illegal operations on a closed queue connection"
055081,"A call to createDurableConnectionConsumer was made on a QueueConnection","Do not call createDurableConnectionConsumer on a QueueConnection"
055080,"There is no destination to send to","Use the version of send that has a destination or bind a destination to the producer before calling send"
055079,"There is no destination to send to","Use the version of send that has a destination or bind a destination to the producer before calling send"
055078,"A call to send with a non-null destination was made on a producer that is already bound to a destination","Do not call send with a non-null destination on a producer that is already bound to a destination"
055077,"A call to send with a non-null destination was made on a producer that is already bound to a destination","Do not call send with a non-null destination on a producer that is already bound to a destination"
055076,"An operation was attempted on a closed session","Do not attempt this operation on a closed session"
055075,"The onMessage method of the client threw a RuntimeException. Naughty","Modify the code such that the RuntimeException is not thrown from within the body of the user code. This warning is required by secion 4.5.2 of the JMS Specification"
